!SIL 1.0	SIL
<UNK> 1.0	SPN
wala 1.0	w a l a 
walɔ 1.0	w a l ɔ 
wamamɔnɔ 1.0	w a m a m ɔ n ɔ 
wamamɔnɔgbε 1.0	w a m a m ɔ n ɔ g b ε 
wamɔnɔ 1.0	w a m ɔ n ɔ 
wan 1.0	w a n 
wangbenu 1.0	w a n g b e n u 
waniya 1.0	w a n i y a 
wanu 1.0	w a n u 
wanyinyi 1.0	w a n y i n y i 
watɔ 1.0	w a t ɔ 
wauh 1.0	w a u h 
wavεdo 1.0	w a v ε d o 
waxεbu 1.0	w a x ε b u 
wayi 1.0	w a y i 
wayizata 1.0	w a y i z a t a 
wazo 1.0	w a z o 
wazɔ 1.0	w a z ɔ 
wagaci 1.0	w a g a c i 
wangbigbε 1.0	w a n g b i g b ε 
wangbεnumε 1.0	w a n g b ε n u m ε 
wangbεnumεtɔ 1.0	w a n g b ε n u m ε t ɔ 
wannywε 1.0	w a n n y w ε 
wannɔ 1.0	w a n n ɔ 
wanvu 1.0	w a n v u 
wanyinamɔ 1.0	w a n y i n a m ɔ 
wanyinanɔ 1.0	w a n y i n a n ɔ 
wanyiyizɔ 1.0	w a n y i y i z ɔ 
wanɖagbenɔ 1.0	w a n ɖ a g b e n ɔ 
watɔn 1.0	w a t ɔ n 
watɔngɔ 1.0	w a t ɔ n g ɔ 
wayiwayi 1.0	w a y i w a y i 
wc 1.0	w c 
we 1.0	w e 
webɔ 1.0	w e b ɔ 
wedu 1.0	w e d u 
wefɔ 1.0	w e f ɔ 
wegɔ 1.0	w e g ɔ 
weke 1.0	w e k e 
wema 1.0	w e m a 
wemakplonkplon 1.0	w e m a k p l o n k p l o n 
wemakplonyiji 1.0	w e m a k p l o n y i j i 
wemawlan 1.0	w e m a w l a n 
wemaxɔmε 1.0	w e m a x ɔ m ε 
wemaxɔmεvi 1.0	w e m a x ɔ m ε v i 
wemazeto 1.0	w e m a z e t o 
wen 1.0	w e n 
wennyinyi 1.0	w e n n y i n y i 
wevlɔɖo 1.0	w e v l ɔ ɖ o 
wewe 1.0	w e w e 
wexwle 1.0	w e x w l e 
wezun 1.0	w e z u n 
wezunkantɔ 1.0	w e z u n k a n t ɔ 
wezunnyɔkantɔ 1.0	w e z u n n y ɔ k a n t ɔ 
weziza 1.0	w e z i z a 
weɖutɔ 1.0	w e ɖ u t ɔ 
whue 1.0	w h u e 
wi 1.0	w i 
wibεεn 1.0	w i b ε ε n 
wienwin 1.0	w i e n w i n 
wigo 1.0	w i g o 
wili 1.0	w i l i 
wini 1.0	w i n i 
winnini 1.0	w i n n i n i 
winnya 1.0	w i n n y a 
winnyadomεtɔ 1.0	w i n n y a d o m ε t ɔ 
winnyanu 1.0	w i n n y a n u 
winwlanɔn 1.0	w i n w l a n ɔ n 
winwεn 1.0	w i n w ε n 
winya 1.0	w i n y a 
wiwa 1.0	w i w a 
wiwi 1.0	w i w i 
wiyan 1.0	w i y a n 
wlan 1.0	w l a n 
wlanwlan 1.0	w l a n w l a n 
wli 1.0	w l i 
wlo 1.0	w l o 
wla 1.0	w l a 
wlibo 1.0	w l i b o 
wlu 1.0	w l u 
wliwli 1.0	w l i w l i 
wlɔ 1.0	w l ɔ 
wlεnwin 1.0	w l ε n w i n 
wlεwlε 1.0	w l ε w l ε 
wo 1.0	w o 
wohouhou 1.0	w o h o u h o u 
wolebe 1.0	w o l e b e 
won 1.0	w o n 
woo 1.0	w o o 
wooo 1.0	w o o o 
wpo 1.0	w p o 
wu 1.0	w u 
wuctozonume 1.0	w u c t o z o n u m e 
wudidan 1.0	w u d i d a n 
wudo 1.0	w u d o 
wufazi 1.0	w u f a z i 
wuhwinhwan 1.0	w u h w i n h w a n 
wui 1.0	w u i 
wuiwlui 1.0	w u i w l u i 
wuku 1.0	w u k u 
wukali 1.0	w u k a l i 
wula 1.0	w u l a 
wuliya 1.0	w u l i y a 
wuliyahu 1.0	w u l i y a h u 
wuliyεli 1.0	w u l i y ε l i 
wulamu 1.0	w u l a m u 
wulekpa 1.0	w u l e k p a 
wulii 1.0	w u l i i 
wulimu 1.0	w u l i m u 
wun 1.0	w u n 
wunda 1.0	w u n d a 
wundama 1.0	w u n d a m a 
wunhinhɔn 1.0	w u n h i n h ɔ n 
wunhinhɔnnu 1.0	w u n h i n h ɔ n n u 
wunkan 1.0	w u n k a n 
wunmε 1.0	w u n m ε 
wunni 1.0	w u n n i 
wunnɔ 1.0	w u n n ɔ 
wuntun 1.0	w u n t u n 
wuntin 1.0	w u n t i n 
wunvanɔ 1.0	w u n v a n ɔ 
wunvo 1.0	w u n v o 
wunvɔ 1.0	w u n v ɔ 
wunzεn 1.0	w u n z ε n 
wutu 1.0	w u t u 
wutayi 1.0	w u t a y i 
wuto 1.0	w u t o 
wuza 1.0	w u z a 
wuziya 1.0	w u z i y a 
wuziyahu 1.0	w u z i y a h u 
wuziyεli 1.0	w u z i y ε l i 
wuzalu 1.0	w u z a l u 
wuzayi 1.0	w u z a y i 
wuzεniceela 1.0	w u z ε n i c e e l a 
wuεli 1.0	w u ε l i 
wyanwyanxwe 1.0	w y a n w y a n x w e 
wabo 1.0	w a b o 
wajɔ 1.0	w a j ɔ 
walɔblɔɖɔ 1.0	w a l ɔ b l ɔ ɖ ɔ 
wanyi 1.0	w a n y i 
wale 1.0	w a l e 
wece 1.0	w e c e 
wenon 1.0	w e n o n 
wego 1.0	w e g o 
weman 1.0	w e m a n 
wiwinɔ 1.0	w i w i n ɔ 
winnyawinnya 1.0	w i n n y a w i n n y a 
winnyɔ 1.0	w i n n y ɔ 
winniwinni 1.0	w i n n i w i n n i 
winniwinninɔ 1.0	w i n n i w i n n i n ɔ 
wulεkpamε 1.0	w u l ε k p a m ε 
wulu 1.0	w u l u 
wusi 1.0	w u s i 
wutujanumεtɔ 1.0	w u t u j a n u m ε t ɔ 
wuu 1.0	w u u 
wuzi 1.0	w u z i 
wegbo 1.0	w e g b o 
wegbohεntɔ 1.0	w e g b o h ε n t ɔ 
wegbojinɔtɔ 1.0	w e g b o j i n ɔ t ɔ 
weji 1.0	w e j i 
wekpεn 1.0	w e k p ε n 
wekwin 1.0	w e k w i n 
wemasetɔ 1.0	w e m a s e t ɔ 
wemaxokple 1.0	w e m a x o k p l e 
wevu 1.0	w e v u 
wewegɔ 1.0	w e w e g ɔ 
wexo 1.0	w e x o 
weyi 1.0	w e y i 
wezizanɔ 1.0	w e z i z a n ɔ 
weɖexamεtɔ 1.0	w e ɖ e x a m ε t ɔ 
wiin 1.0	w i i n 
wiinkpa 1.0	w i i n k p a 
woatɔn 1.0	w o a t ɔ n 
woatɔngɔ 1.0	w o a t ɔ n g ɔ 
wogɔ 1.0	w o g ɔ 
wokogo 1.0	w o k o g o 
wovlɔɖo 1.0	w o v l ɔ ɖ o 
woɖokpo 1.0	w o ɖ o k p o 
woɖokpogɔ 1.0	w o ɖ o k p o g ɔ 
woεnε 1.0	w o ε n ε 
woεnεgɔ 1.0	w o ε n ε g ɔ 
wublanɔnu 1.0	w u b l a n ɔ n u 
wublawubla 1.0	w u b l a w u b l a 
wucyɔn 1.0	w u c y ɔ n 
wugblemε 1.0	w u g b l e m ε 
wuhwan 1.0	w u h w a n 
wujɔmε 1.0	w u j ɔ m ε 
wujɔnu 1.0	w u j ɔ n u 
wukunanɔ 1.0	w u k u n a n ɔ 
wulεgban 1.0	w u l ε g b a n 
wuslasla 1.0	w u s l a s l a 
wusyεn 1.0	w u s y ε n 
wutuzɔn 1.0	w u t u z ɔ n 
wuvɔ 1.0	w u v ɔ 
wuvε 1.0	w u v ε 
wuvεmimɔ 1.0	w u v ε m i m ɔ 
wuvεsise 1.0	w u v ε s i s e 
wuvεzan 1.0	w u v ε z a n 
wuwu 1.0	w u w u 
wuya 1.0	w u y a 
wuyamεsin 1.0	w u y a m ε s i n 
wuyεyε 1.0	w u y ε y ε 
wuɖewuɖe 1.0	w u ɖ e w u ɖ e 
wuɖiɖi 1.0	w u ɖ i ɖ i 
wɔ 1.0	w ɔ 
wɔfusi 1.0	w ɔ f u s i 
wɔlɔ 1.0	w ɔ l ɔ 
wɔn 1.0	w ɔ n 
wɔvli 1.0	w ɔ v l i 
wɔxuxu 1.0	w ɔ x u x u 
wɔɖɔɖɔ 1.0	w ɔ ɖ ɔ ɖ ɔ 
wɔɔ 1.0	w ɔ ɔ 
wɔbliwɔva 1.0	w ɔ b l i w ɔ v a 
wɔbuwɔbu 1.0	w ɔ b u w ɔ b u 
wɔxuxuɖatɔ 1.0	w ɔ x u x u ɖ a t ɔ 
wεkε 1.0	w ε k ε 
wεkεzo 1.0	w ε k ε z o 
wεn 1.0	w ε n 
wεnε 1.0	w ε n ε 
wεnεgɔ 1.0	w ε n ε g ɔ 
wε 1.0	w ε 
wεlεwεlε 1.0	w ε l ε w ε l ε 
wεnjε 1.0	w ε n j ε 
wεnsagun 1.0	w ε n s a g u n 
wεnsinɔ 1.0	w ε n s i n ɔ 
wεnɖagbe 1.0	w ε n ɖ a g b e 
x 1.0	x 
xa 1.0	x a 
xaji 1.0	x a j i 
xasun 1.0	x a s u n 
xe 1.0	x e 
xi 1.0	x i 
xixa 1.0	x i x a 
xixo 1.0	x i x o 
xixɔtɔ 1.0	x i x ɔ t ɔ 
xixεdo 1.0	x i x ε d o 
xla 1.0	x l a 
xlaxla 1.0	x l a x l a 
xlo 1.0	x l o 
xlohwε 1.0	x l o h w ε 
xlojijɔ 1.0	x l o j i j ɔ 
xlonɔ 1.0	x l o n ɔ 
xlonɔnu 1.0	x l o n ɔ n u 
xlonɔxo 1.0	x l o n ɔ x o 
xlonɔzɔ 1.0	x l o n ɔ z ɔ 
xlε 1.0	x l ε 
xo 1.0	x o 
xoclico 1.0	x o c l i c o 
xogbla 1.0	x o g b l a 
xogɔtɔ 1.0	x o g ɔ t ɔ 
xojalaweman 1.0	x o j a l a w e m a n 
xokple 1.0	x o k p l e 
xokpɔn 1.0	x o k p ɔ n 
xololo 1.0	x o l o l o 
xomc 1.0	x o m c 
xomla 1.0	x o m l a 
xomε 1.0	x o m ε 
xomεfatɔ 1.0	x o m ε f a t ɔ 
xomεfifa 1.0	x o m ε f i f a 
xomεhunhun 1.0	x o m ε h u n h u n 
xomεhunhunnu 1.0	x o m ε h u n h u n n u 
xomεjεn 1.0	x o m ε j ε n 
xomεnyinyɔ 1.0	x o m ε n y i n y ɔ 
xomεnyɔtɔ 1.0	x o m ε n y ɔ t ɔ 
xomεnu 1.0	x o m ε n u 
xomεsin 1.0	x o m ε s i n 
xomεsinnɔ 1.0	x o m ε s i n n ɔ 
xomεsinsin 1.0	x o m ε s i n s i n 
xomεvɔ 1.0	x o m ε v ɔ 
xomεvɔnɔ 1.0	x o m ε v ɔ n ɔ 
xomεzɔn 1.0	x o m ε z ɔ n 
xonton 1.0	x o n t o n 
xosu 1.0	x o s u 
xove 1.0	x o v e 
xovε 1.0	x o v ε 
xoxo 1.0	x o x o 
xoxohwenu 1.0	x o x o h w e n u 
xoxonɔ 1.0	x o x o n ɔ 
xozin 1.0	x o z i n 
xoo 1.0	x o o 
xoɖiɖɔ 1.0	x o ɖ i ɖ ɔ 
xu 1.0	x u 
xugbado 1.0	x u g b a d o 
xumεkanlin 1.0	x u m ε k a n l i n 
xumεtekan 1.0	x u m ε t e k a n 
xusin 1.0	x u s i n 
xuta 1.0	x u t a 
xuto 1.0	x u t o 
xuwa 1.0	x u w a 
xuxu 1.0	x u x u 
xuzan 1.0	x u z a n 
xwa 1.0	x w a 
xwe 1.0	x w e 
xwedo 1.0	x w e d o 
xwedowema 1.0	x w e d o w e m a 
xwegbe 1.0	x w e g b e 
xweji 1.0	x w e j i 
xwele 1.0	x w e l e 
xwesi 1.0	x w e s i 
xwesɔ 1.0	x w e s ɔ 
xwetaji 1.0	x w e t a j i 
xwetavɔ 1.0	x w e t a v ɔ 
xwete 1.0	x w e t e 
xwetɔn 1.0	x w e t ɔ n 
xwetε 1.0	x w e t ε 
xwewu 1.0	x w e w u 
xweyigbe 1.0	x w e y i g b e 
xwezan 1.0	x w e z a n 
xweɖuɖu 1.0	x w e ɖ u ɖ u 
xweɖɔ 1.0	x w e ɖ ɔ 
xwi 1.0	x w i 
xwii 1.0	x w i i 
xwiji 1.0	x w i j i 
xwixwe 1.0	x w i x w e 
xwixwedo 1.0	x w i x w e d o 
xwixwε 1.0	x w i x w ε 
xwle 1.0	x w l e 
xwlemawutɔ 1.0	x w l e m a w u t ɔ 
xwlexwle 1.0	x w l e x w l e 
xwlε 1.0	x w l ε 
xwlεlε 1.0	x w l ε l ε 
xwlεxwlε 1.0	x w l ε x w l ε 
xwegbenu 1.0	x w e g b e n u 
xwegbezɔ 1.0	x w e g b e z ɔ 
xwegbɔ 1.0	x w e g b ɔ 
xwenu 1.0	x w e n u 
xweta 1.0	x w e t a 
xwetado 1.0	x w e t a d o 
xwetɔ 1.0	x w e t ɔ 
xwevi 1.0	x w e v i 
xwitixwiti 1.0	x w i t i x w i t i 
xwixwa 1.0	x w i x w a 
xwixwi 1.0	x w i x w i 
xwiyɔ 1.0	x w i y ɔ 
xwiɖi 1.0	x w i ɖ i 
xwiɖixwiɖi 1.0	x w i ɖ i x w i ɖ i 
xwε 1.0	x w ε 
xwεlεε 1.0	x w ε l ε ε 
xya 1.0	x y a 
xasa 1.0	x a s a 
xaso 1.0	x a s o 
xatεn 1.0	x a t ε n 
xaya 1.0	x a y a 
xevi 1.0	x e v i 
xeɖexeɖe 1.0	x e ɖ e x e ɖ e 
xisi 1.0	x i s i 
xixlε 1.0	x i x l ε 
xiyɔ 1.0	x i y ɔ 
xokan 1.0	x o k a n 
xobiba 1.0	x o b i b a 
xogbe 1.0	x o g b e 
xogblo 1.0	x o g b l o 
xogbloɖiɖɔ 1.0	x o g b l o ɖ i ɖ ɔ 
xogo 1.0	x o g o 
xojlawema 1.0	x o j l a w e m a 
xojɔxo 1.0	x o j ɔ x o 
xokwin 1.0	x o k w i n 
xolomilomi 1.0	x o l o m i l o m i 
xolomilomiɖɔtɔ 1.0	x o l o m i l o m i ɖ ɔ t ɔ 
xomaɖixo 1.0	x o m a ɖ i x o 
xomɔ 1.0	x o m ɔ 
xonusɔɖote 1.0	x o n u s ɔ ɖ o t e 
xonyanyaɖɔtɔ 1.0	x o n y a n y a ɖ ɔ t ɔ 
xonyɔɖɔ 1.0	x o n y ɔ ɖ ɔ 
xosin 1.0	x o s i n 
xosusu 1.0	x o s u s u 
xota 1.0	x o t a 
xovɔsutɔ 1.0	x o v ɔ s u t ɔ 
xoɖɔdoxowutɔ 1.0	x o ɖ ɔ d o x o w u t ɔ 
xoɖɔxoɖɔ 1.0	x o ɖ ɔ x o ɖ ɔ 
xoɖɔɖayi 1.0	x o ɖ ɔ ɖ a y i 
xoɖɔɖayinumε 1.0	x o ɖ ɔ ɖ a y i n u m ε 
xugloxu 1.0	x u g l o x u 
xuna 1.0	x u n a 
xuɖuxuɖu 1.0	x u ɖ u x u ɖ u 
xɔ 1.0	x ɔ 
xɔgba 1.0	x ɔ g b a 
xɔgbasa 1.0	x ɔ g b a s a 
xɔgbasado 1.0	x ɔ g b a s a d o 
xɔgbasali 1.0	x ɔ g b a s a l i 
xɔgbatɔ 1.0	x ɔ g b a t ɔ 
xɔkan 1.0	x ɔ k a n 
xɔlan 1.0	x ɔ l a n 
xɔli 1.0	x ɔ l i 
xɔkwε 1.0	x ɔ k w ε 
xɔmengbovɔ 1.0	x ɔ m e n g b o v ɔ 
xɔmε 1.0	x ɔ m ε 
xɔmεgbovɔ 1.0	x ɔ m ε g b o v ɔ 
xɔmεtɔ 1.0	x ɔ m ε t ɔ 
xɔmεtɔgan 1.0	x ɔ m ε t ɔ g a n 
xɔn 1.0	x ɔ n 
xɔnnɔ 1.0	x ɔ n n ɔ 
xɔntɔn 1.0	x ɔ n t ɔ n 
xɔnu 1.0	x ɔ n u 
xɔnɔmεli 1.0	x ɔ n ɔ m ε l i 
xɔnɔnɔ 1.0	x ɔ n ɔ n ɔ 
xɔnɔnɔmεdo 1.0	x ɔ n ɔ n ɔ m ε d o 
xɔsa 1.0	x ɔ s a 
xɔsu 1.0	x ɔ s u 
xɔtlεtɔ 1.0	x ɔ t l ε t ɔ 
xɔtin 1.0	x ɔ t i n 
xɔvlamεli 1.0	x ɔ v l a m ε l i 
xɔxɔ 1.0	x ɔ x ɔ 
xɔzɔ 1.0	x ɔ z ɔ 
xɔxɔkplε 1.0	x ɔ x ɔ k p l ε 
xεlu 1.0	x ε l u 
xε 1.0	x ε 
xεblεnu 1.0	x ε b l ε n u 
xεdɔ 1.0	x ε d ɔ 
xεgbenyatɔ 1.0	x ε g b e n y a t ɔ 
xεnyaɖomεjitɔ 1.0	x ε n y a ɖ o m ε j i t ɔ 
xεsi 1.0	x ε s i 
xεsinɔ 1.0	x ε s i n ɔ 
xεsiɖiɖi 1.0	x ε s i ɖ i ɖ i 
xεsiɖofibi 1.0	x ε s i ɖ o f i b i 
xεti 1.0	x ε t i 
xεvi 1.0	x ε v i 
xεxo 1.0	x ε x o 
xεε 1.0	x ε ε 
xεεn 1.0	x ε ε n 
ya 1.0	y a 
yaa 1.0	y a a 
yaakova 1.0	y a a k o v a 
yaakani 1.0	y a a k a n i 
yaala 1.0	y a a l a 
yaaleolegimu 1.0	y a a l e o l e g i m u 
yaalεciya 1.0	y a a l ε c i y a 
yaamuti 1.0	y a a m u t i 
yaasayi 1.0	y a a s a y i 
yaasiεli 1.0	y a a s i ε l i 
yaaxa 1.0	y a a x a 
yaazaniya 1.0	y a a z a n i y a 
yaazaniyahu 1.0	y a a z a n i y a h u 
yaaziyahu 1.0	y a a z i y a h u 
yaaziεli 1.0	y a a z i ε l i 
yabalu 1.0	y a b a l u 
yabɔku 1.0	y a b ɔ k u 
yacenu 1.0	y a c e n u 
yacoveamu 1.0	y a c o v e a m u 
yacuvu 1.0	y a c u v u 
yada 1.0	y a d a 
yadayi 1.0	y a d a y i 
yadonume 1.0	y a d o n u m e 
yadua 1.0	y a d u a 
yadonumε 1.0	y a d o n u m ε 
yadɔni 1.0	y a d ɔ n i 
yaebεsi 1.0	y a e b ε s i 
yaekani 1.0	y a e k a n i 
yaela 1.0	y a e l a 
yaelamu 1.0	y a e l a m u 
yaenayi 1.0	y a e n a y i 
yafia 1.0	y a f i a 
yaflεti 1.0	y a f l ε t i 
yagba 1.0	y a g b a 
yagban 1.0	y a g b a n 
yaguu 1.0	y a g u u 
yajiji 1.0	y a j i j i 
yakimu 1.0	y a k i m u 
yakini 1.0	y a k i n i 
yakε 1.0	y a k ε 
yalinuvi 1.0	y a l i n u v i 
yalo 1.0	y a l o 
yalivu 1.0	y a l i v u 
yalɔni 1.0	y a l ɔ n i 
yalɔaxi 1.0	y a l ɔ a x i 
yamini 1.0	y a m i n i 
yamulεki 1.0	y a m u l ε k i 
yan 1.0	y a n 
yanyan 1.0	y a n y a n 
yanumu 1.0	y a n u m u 
yanɔwaxi 1.0	y a n ɔ w a x i 
yasiyεli 1.0	y a s i y ε l i 
yasεnti 1.0	y a s ε n t i 
yatiniyεli 1.0	y a t i n i y ε l i 
yatii 1.0	y a t i i 
yatɔnɔ 1.0	y a t ɔ n ɔ 
yatɔ 1.0	y a t ɔ 
yavi 1.0	y a v i 
yavunε 1.0	y a v u n ε 
yavunεyεli 1.0	y a v u n ε y ε l i 
yavani 1.0	y a v a n i 
yavini 1.0	y a v i n i 
yavεci 1.0	y a v ε c i 
yavεcinu 1.0	y a v ε c i n u 
yawo 1.0	y a w o 
yawu 1.0	y a w u 
yaxaziεli 1.0	y a x a z i ε l i 
yaxidayi 1.0	y a x i d a y i 
yaxidiεli 1.0	y a x i d i ε l i 
yaxidoo 1.0	y a x i d o o 
yaxileεli 1.0	y a x i l e ε l i 
yaximayi 1.0	y a x i m a y i 
yaxisa 1.0	y a x i s a 
yaxiseεli 1.0	y a x i s e ε l i 
yaxizelaa 1.0	y a x i z e l a a 
yaxizeya 1.0	y a x i z e y a 
yaxati 1.0	y a x a t i 
yaya 1.0	y a y a 
yayii 1.0	y a y i i 
yazizi 1.0	y a z i z i 
yazεε 1.0	y a z ε ε 
yazεεnu 1.0	y a z ε ε n u 
yaɖeyaɖe 1.0	y a ɖ e y a ɖ e 
yayanɔ 1.0	y a y a n ɔ 
yaεli 1.0	y a ε l i 
ycmc 1.0	y c m c 
ye 1.0	y e 
yealimunu 1.0	y e a l i m u n u 
yecana 1.0	y e c a n a 
yecaya 1.0	y e c a y a 
yecayahu 1.0	y e c a y a h u 
yecicayi 1.0	y e c i c a y i 
yeclee 1.0	y e c l e e 
yecoxaya 1.0	y e c o x a y a 
yecteedida 1.0	y e c t e e d i d a 
yecteejodo 1.0	y e c t e e j o d o 
yeculunu 1.0	y e c u l u n u 
yecuwa 1.0	y e c u w a 
yecεε 1.0	y e c ε ε 
yedaya 1.0	y e d a y a 
yediaεlu 1.0	y e d i a ε l u 
yedida 1.0	y e d i d a 
yedidya 1.0	y e d i d y a 
yedutun 1.0	y e d u t u n 
yedoo 1.0	y e d o o 
yee 1.0	y e e 
yefunnεε 1.0	y e f u n n ε ε 
yegaa 1.0	y e g a a 
yehu 1.0	y e h u 
yehwe 1.0	y e h w e 
yeji 1.0	y e j i 
yekamiya 1.0	y e k a m i y a 
yekamεyamu 1.0	y e k a m ε y a m u 
yekavuseεli 1.0	y e k a v u s e ε l i 
yekolia 1.0	y e k o l i a 
yekutiεli 1.0	y e k u t i ε l i 
yelamɔti 1.0	y e l a m ɔ t i 
yelaximεyεli 1.0	y e l a x i m ε y ε l i 
yelaximεyεlinu 1.0	y e l a x i m ε y ε l i n u 
yelemayi 1.0	y e l e m a y i 
yelemɔti 1.0	y e l e m ɔ t i 
yelimɔti 1.0	y e l i m ɔ t i 
yelivayi 1.0	y e l i v a y i 
yeliya 1.0	y e l i y a 
yeliyahu 1.0	y e l i y a h u 
yeliyɔti 1.0	y e l i y ɔ t i 
yeliεli 1.0	y e l i ε l i 
yeloxamu 1.0	y e l o x a m u 
yelubaalu 1.0	y e l u b a a l u 
yelubεcεti 1.0	y e l u b ε c ε t i 
yeluca 1.0	y e l u c a 
yeluεli 1.0	y e l u ε l i 
yelaxi 1.0	y e l a x i 
yemimaxi 1.0	y e m i m a x i 
yemuwεli 1.0	y e m u w ε l i 
yen 1.0	y e n 
yens 1.0	y e n s 
yeotlayi 1.0	y e o t l a y i 
yesalela 1.0	y e s a l e l a 
yesimiyεli 1.0	y e s i m i y ε l i 
yesimɔti 1.0	y e s i m ɔ t i 
yesterday 1.0	y e s t e r d a y 
yesεε 1.0	y e s ε ε 
yeton 1.0	y e t o n 
yetuu 1.0	y e t u u 
yetɔn 1.0	y e t ɔ n 
yetεti 1.0	y e t ε t i 
yevelεkiyahu 1.0	y e v e l ε k i y a h u 
yewuεli 1.0	y e w u ε l i 
yewuci 1.0	y e w u c i 
yewusi 1.0	y e w u s i 
yexalelεli 1.0	y e x a l e l ε l i 
yexezikεli 1.0	y e x e z i k ε l i 
yexiya 1.0	y e x i y a 
yexiyεli 1.0	y e x i y ε l i 
yexizikiya 1.0	y e x i z i k i y a 
yexizikyahu 1.0	y e x i z i k y a h u 
yexoada 1.0	y e x o a d a 
yexoadani 1.0	y e x o a d a n i 
yexoadini 1.0	y e x o a d i n i 
yexocεva 1.0	y e x o c ε v a 
yexolamu 1.0	y e x o l a m u 
yexonatani 1.0	y e x o n a t a n i 
yexosadaki 1.0	y e x o s a d a k i 
yexosafati 1.0	y e x o s a f a t i 
yexosavati 1.0	y e x o s a v a t i 
yexoxanani 1.0	y e x o x a n a n i 
yexoyada 1.0	y e x o y a d a 
yexoyalivu 1.0	y e x o y a l i v u 
yexozavadi 1.0	y e x o z a v a d i 
yexoazi 1.0	y e x o a z i 
yexuba 1.0	y e x u b a 
yexuda 1.0	y e x u d a 
yexudi 1.0	y e x u d i 
yexuditi 1.0	y e x u d i t i 
yexukali 1.0	y e x u k a l i 
yeyiεli 1.0	y e y i ε l i 
yezaniyahu 1.0	y e z a n i y a h u 
yeziyεli 1.0	y e z i y ε l i 
yeɖe 1.0	y e ɖ e 
yi 1.0	y i 
yibowa 1.0	y i b o w a 
yiceyi 1.0	y i c e y i 
yicibaku 1.0	y i c i b a k u 
yicibibenɔvu 1.0	y i c i b i b e n ɔ v u 
yicima 1.0	y i c i m a 
yicimaya 1.0	y i c i m a y a 
yicimayahu 1.0	y i c i m a y a h u 
yicimayεli 1.0	y i c i m a y ε l i 
yicimεlayi 1.0	y i c i m ε l a y i 
yicipa 1.0	y i c i p a 
yicipani 1.0	y i c i p a n i 
yiciwa 1.0	y i c i w a 
yiciya 1.0	y i c i y a 
yiciyahu 1.0	y i c i y a h u 
yiciwi 1.0	y i c i w i 
yideala 1.0	y i d e a l a 
yidlafu 1.0	y i d l a f u 
yidubaci 1.0	y i d u b a c i 
yifudeya 1.0	y i f u d e y a 
yifutaxi 1.0	y i f u t a x i 
yifutaxiεli 1.0	y i f u t a x i ε l i 
yigbe 1.0	y i g b e 
yigealu 1.0	y i g e a l u 
yigidaliyahu 1.0	y i g i d a l i y a h u 
yiimεya 1.0	y i i m ε y a 
yiimεyahu 1.0	y i i m ε y a h u 
yiipeεli 1.0	y i i p e ε l i 
yileɔni 1.0	y i l e ɔ n i 
yiliya 1.0	y i l i y a 
yimula 1.0	y i m u l a 
yimuna 1.0	y i m u n a 
yin 1.0	y i n 
yiselii 1.0	y i s e l i i 
yisexaa 1.0	y i s e x a a 
yisika 1.0	y i s i k a 
yisimakiyahu 1.0	y i s i m a k i y a h u 
yitla 1.0	y i t l a 
yitlani 1.0	y i t l a n i 
yitleamu 1.0	y i t l e a m u 
yituma 1.0	y i t u m a 
yitala 1.0	y i t a l a 
yitɔ 1.0	y i t ɔ 
yivleamu 1.0	y i v l e a m u 
yivleamunu 1.0	y i v l e a m u n u 
yivunεya 1.0	y i v u n ε y a 
yivusamu 1.0	y i v u s a m u 
yivaa 1.0	y i v a a 
yiwan 1.0	y i w a n 
yiya 1.0	y i y a 
yiyi 1.0	y i y i 
yizliya 1.0	y i z l i y a 
yizlaxya 1.0	y i z l a x y a 
yiziya 1.0	y i z i y a 
yl 1.0	y l 
ylo 1.0	y l o 
ylɔ 1.0	y l ɔ 
ylɔylɔ 1.0	y l ɔ y l ɔ 
yo 1.0	y o 
yoaci 1.0	y o a c i 
yoakazi 1.0	y o a k a z i 
yoavu 1.0	y o a v u 
yoaxazi 1.0	y o a x a z i 
yoca 1.0	y o c a 
yocafati 1.0	y o c a f a t i 
yocawia 1.0	y o c a w i a 
yoce 1.0	y o c e 
yocibekaca 1.0	y o c i b e k a c a 
yocivia 1.0	y o c i v i a 
yoela 1.0	y o e l a 
yogiboxa 1.0	y o g i b o x a 
yogli 1.0	y o g l i 
yokicani 1.0	y o k i c a n i 
yokimɔamu 1.0	y o k i m ɔ a m u 
yokiteεli 1.0	y o k i t e ε l i 
yokitani 1.0	y o k i t a n i 
yokpovume 1.0	y o k p o v u m e 
yokumεamu 1.0	y o k u m ε a m u 
yokunεamu 1.0	y o k u n ε a m u 
yokimu 1.0	y o k i m u 
yokεvεdi 1.0	y o k ε v ε d i 
yola 1.0	y o l a 
yolayi 1.0	y o l a y i 
yolamu 1.0	y o l a m u 
yon 1.0	y o n 
yonadavu 1.0	y o n a d a v u 
yonatani 1.0	y o n a t a n i 
yonu 1.0	y o n u 
yonutuntun 1.0	y o n u t u n t u n 
yosadaku 1.0	y o s a d a k u 
yosifia 1.0	y o s i f i a 
yotivanu 1.0	y o t i v a n u 
yotivata 1.0	y o t i v a t a 
yotamu 1.0	y o t a m u 
yovavu 1.0	y o v a v u 
yovo 1.0	y o v o 
yovotome 1.0	y o v o t o m e 
